position,time,race_num,country,gender,catagory
289,07:27:23,52402,RSA,F,VET
290,07:27:27,17274,RSA,M,VET
291,07:27:27,43463,RSA,M,VET
293,07:27:29,12484,RSA,M,SEN
294,07:27:32,34063,RSA,M,SEN
295,07:27:36,50703,RSA,M,SEN
296,07:27:46,40330,RSA,M,SEN
297,07:27:47,24346,RSA,M,SEN
298,07:28:01,17446,RSA,M,VET
299,07:28:01,27278,RSA,M,SEN
300,07:28:05,17763,RSA,M,VET
301,07:28:10,54599,RSA,M,MAS
302,07:28:12,39833,RSA,M,VET
303,07:28:13,56841,RSA,M,SEN
304,07:28:16,33860,RSA,M,SEN
305,07:28:22,39957,RSA,M,VET
306,07:28:22,57268,RSA,M,SEN
307,07:28:23,20226,RSA,M,SEN
308,07:28:25,41912,RSA,M,SEN
309,07:28:26,31488,RSA,M,SEN
310,07:28:38,39498,RSA,F,VET
311,07:28:50,20847,RSA,M,SEN
312,07:28:55,36226,RSA,M,MAS
313,07:29:03,44020,RSA,M,SEN
314,07:29:03,27774,RSA,M,SEN
315,07:29:06,37715,RSA,M,SEN
316,07:29:06,18551,RSA,M,SEN
317,07:29:08,56710,RSA,M,VET
318,07:29:09,58055,RSA,M,SEN
319,07:29:35,40946,RSA,M,SEN
320,07:29:35,58765,RSA,M,SEN
321,07:29:35,26245,RSA,M,SEN
322,07:29:39,32516,RSA,M,SEN
323,07:29:40,36353,POL,M,SEN
324,07:29:41,59114,RSA,M,SEN
325,07:29:47,59933,RSA,M,SEN
326,07:29:48,34299,RSA,M,SEN
327,07:29:56,31724,RSA,M,SEN
328,07:30:00,37645,RSA,M,VET
329,07:30:01,40873,RSA,M,SEN
330,07:30:12,24576,RSA,M,SEN
331,07:30:15,16421,RSA,M,SEN
332,07:30:26,36861,RSA,F,SEN
333,07:31:03,49776,RSA,M,VET
334,07:31:04,52749,RSA,M,SEN
335,07:31:05,58946,RSA,M,SEN
336,07:31:05,26384,RSA,M,SEN
337,07:31:14,6971,RSA,M,VET
338,07:31:33,56905,RSA,M,SEN
339,07:31:37,38030,RSA,M,VET
340,07:31:54,57977,RSA,M,SEN
341,07:31:55,59397,RSA,M,VET
342,07:31:56,53013,RSA,M,SEN
343,07:31:59,51047,RSA,M,SEN
344,07:32:05,24548,RSA,M,SEN
345,07:32:10,13812,RSA,M,VET
346,07:32:14,12348,LES,M,SEN
347,07:32:22,28042,RSA,M,SEN
348,07:32:24,42712,RSA,M,SEN
349,07:32:42,39080,RSA,M,SEN
350,07:32:45,48544,RSA,M,VET
351,07:32:50,39218,RSA,M,SEN
352,07:32:59,18467,RSA,M,SEN
353,07:33:10,56642,RSA,M,VET
354,07:33:20,59780,RSA,M,VET
355,07:33:41,27123,RSA,M,SEN
356,07:33:42,27308,RSA,M,SEN
357,07:33:49,47434,RSA,F,SEN
358,07:34:00,47601,LES,M,SEN
359,07:34:23,59837,RSA,M,SEN
360,07:34:25,46737,RSA,M,VET
361,07:34:26,15567,RSA,M,VET
